20th Century,Cocchi Americano,oz,0.75
20th Century,creme de cacao,oz,0.75
20th Century,gin,oz,1.5
20th Century,lemon juice,oz,0.75
Abbey Cocktail,cherry garnish,each,1.0
Abbey Cocktail,orange bitters,dash,2.0
Abbey Cocktail,gin,oz,1.5
Abbey Cocktail,Lillet Blanc,oz,0.75
Abbey Cocktail,orange juice,oz,0.75
Agave Old Fashioned,Angostura bitters,dash,2.0
Agave Old Fashioned,tequila reposado,oz,2.0
Agave Old Fashioned,agave nectar,tsp,1.0
Airmail,aged rum,oz,1.0
Airmail,honey simple syrup,oz,0.5
Airmail,lime juice,oz,0.5
Airmail,Champagne or sparkling wine,oz,1.0
Alabazam,Angostura bitters,oz,0.25
Alabazam,cognac,oz,1.5
Alabazam,Cointreau,oz,0.5
Alabazam,lemon juice,oz,0.25
Alabazam,simple syrup,oz,0.25
Alaska Cocktail,lemon twist garnish,each,1.0
Alaska Cocktail,orange bitters,dash,1.0
Alaska Cocktail,gin,oz,1.5
Alaska Cocktail,yellow Chartreuse,oz,0.75
Angostura Fizz,egg white,each,1.0
Angostura Fizz,Angostura bitters,oz,1.0
Angostura Fizz,grenadine,oz,0.25
Angostura Fizz,heavy cream,oz,0.5
Angostura Fizz,lime juice,oz,1.0
Angostura Fizz,simple syrup,oz,0.25
Angostura Fizz,soda water,oz,1.0
Apple Toddy,Angostura bitters,dash,2.0
Apple Toddy,applejack,oz,2.0
Apple Toddy,cinnamon tea,oz,3.0
Apple Toddy,maple syrup,tsp,1.0
Applejack Old Fashioned,Angostura bitters,dash,2.0
Applejack Old Fashioned,applejack,oz,2.0
Applejack Old Fashioned,maple syrup,tsp,1.0
Bee's Knees,brandied cherry garnish,each,1.0
Bee's Knees,lemon wheel garnish,each,1.0
Bee's Knees,lavender bitters,dash,1.0
Bee's Knees,gin,oz,2.0
Bee's Knees,honey simple syrup,oz,0.75
Bee's Knees,lemon juice,oz,0.75
Bijou,cherry garnish,each,1.0
Bijou,lemon twist garnish,each,1.0
Bijou,orange bitters,dash,1.0
Bijou,gin,oz,1.0
Bijou,green Chartreuse,oz,1.0
Bijou,sweet vermouth,oz,1.0
Bitter French,Campari,oz,0.25
Bitter French,Champagne or sparkling wine,oz,2.5
Bitter French,gin,oz,1.0
Bitter French,lemon juice,oz,0.5
Bitter French,simple syrup,oz,0.5
